,<CLOSE>,indicator,Общая стоимость портфеля
2014-10-06,22.75,100.0,4870.0
2014-10-07,21.4,0.0,4870.0
2014-10-08,22.4,0.0,4870.0
2014-10-10,21.8,0.0,4870.0
2014-10-14,21.0,0.0,4870.0
2014-10-15,20.9,0.0,4870.0
2014-10-16,20.8,0.0,4870.0
2014-10-20,21.3,0.0,4870.0
2014-10-21,19.1,0.0,4870.0
2014-10-22,19.4,0.0,4870.0
2014-10-23,21.8,15.0,4870.0
2014-10-27,26.65,13.333333333333332,4870.0
2014-10-28,26.6,10.0,4870.0
2014-10-29,25.0,10.0,4870.0
2014-10-31,25.4,10.0,4870.0
2014-11-03,25.1,100.0,4870.0
2014-11-05,24.3,10.0,4870.0
2014-11-06,24.65,0.0,4870.0
2014-11-07,23.0,0.0,4870.0
2014-11-10,24.3,6.666666666666666,4870.0
2014-11-11,24.4,29.33333333333333,4870.0
2014-11-12,23.6,10.0,4870.0
2014-11-13,23.0,5.0,4870.0
2014-11-17,22.15,10.0,4870.0
2014-11-18,24.85,15.0,4870.0
2014-11-20,23.0,10.0,4870.0
2014-11-21,27.9,77.77777777777777,4870.0
2014-11-24,27.95,10.0,4870.0
2014-11-27,27.45,53.18181818181817,4870.0
2014-11-28,26.05,10.0,4870.0
2014-12-01,23.0,30.0,4870.0
2014-12-02,24.4,3.333333333333333,4870.0
2014-12-03,29.65,10.0,4870.0
2014-12-04,26.2,21.33333333333333,4870.0
2014-12-05,26.9,10.0,4870.0
2014-12-08,21.2,7.199999999999998,4870.0
2014-12-09,22.35,10.0,4870.0
2014-12-10,22.4,52.38095238095239,4870.0
2014-12-11,20.05,5.0,4870.0
2014-12-12,20.0,66.66666666666666,4870.0
2014-12-15,19.4,10.0,4870.0
2014-12-16,20.0,9.375,4870.0
2014-12-17,21.45,12.8,4870.0
2014-12-18,20.0,0.0,4870.0
2014-12-19,20.35,0.0,4870.0
2014-12-24,21.65,0.0,4870.0
2014-12-25,21.8,0.0,4870.0
2014-12-29,22.3,0.0,4870.0
2015-01-05,19.15,0.0,4870.0
2015-01-06,20.5,0.0,4870.0
2015-01-08,20.15,0.0,4870.0
2015-01-15,21.0,0.0,4870.0
2015-01-16,20.55,0.0,4870.0
2015-01-21,20.95,0.0,4870.0
2015-01-22,20.5,0.0,4870.0
2015-01-26,17.5,0.0,4870.0
2015-01-27,18.1,0.0,4870.0
2015-01-28,25.3,0.0,4870.0
2015-01-29,35.25,0.0,4870.0
2015-01-30,49.35,10.0,4870.0
2015-02-02,69.0,16.0,4870.0
2015-02-03,69.7,12.5,4870.0
2015-02-04,65.7,10.0,4870.0
2015-02-05,79.95,0.0,4870.0
2015-02-06,70.0,30.0,4870.0
2015-02-09,79.85,0.0,4870.0
2015-02-10,74.95,0.0,4870.0
2015-02-11,75.0,0.0,4870.0
2015-02-12,63.0,10.0,4870.0
2015-02-13,71.0,0.0,4870.0
2015-02-16,70.9,0.0,4870.0
2015-02-17,69.5,0.0,4870.0
2015-02-19,69.45,0.0,4870.0
2015-02-20,62.05,0.0,4870.0
2015-02-24,64.55,0.0,4870.0
2015-02-25,55.1,0.0,4870.0
2015-02-26,60.9,0.0,4870.0
2015-02-27,60.85,0.0,4870.0
2015-03-02,55.05,0.0,4870.0
2015-03-03,64.45,0.0,4870.0
2015-03-04,62.95,0.0,4870.0
2015-03-05,53.05,0.0,4870.0
2015-03-06,52.25,0.0,4870.0
2015-03-10,48.55,0.0,4870.0
2015-03-11,49.0,0.0,4870.0
2015-03-12,42.55,0.0,4870.0
2015-03-13,41.55,0.0,4870.0
2015-03-16,38.0,0.0,4870.0
2015-03-17,39.8,0.0,4870.0
2015-03-18,38.3,0.0,4870.0
2015-03-19,37.05,0.0,4870.0
2015-03-20,38.5,0.0,4870.0
2015-03-23,38.55,0.0,4870.0
2015-03-25,39.5,0.0,4870.0
2015-03-26,38.25,0.0,4870.0
2015-03-27,38.3,0.0,4870.0
2015-03-30,37.7,0.0,4870.0
2015-04-01,38.5,0.0,4870.0
2015-04-02,36.0,0.0,4870.0
2015-04-03,36.0,0.0,4870.0
2015-04-06,36.8,0.0,4870.0
2015-04-07,38.0,0.0,4870.0
2015-04-08,36.8,0.0,4870.0
2015-04-09,37.75,60.0,4870.0
2015-04-10,37.9,0.0,4870.0
2015-04-15,52.9,0.0,4870.0
2015-04-16,48.0,21.33333333333333,4870.0
2015-04-17,49.4,0.0,4870.0
2015-04-20,42.0,100.0,4870.0
2015-04-21,45.0,5.0,4870.0
2015-04-22,41.2,0.0,4870.0
2015-04-23,42.0,40.0,4870.0
2015-04-24,42.85,22.91666666666667,4870.0
2015-04-27,38.5,4.545454545454545,4870.0
2015-04-28,39.0,0.0,4870.0
2015-04-29,39.5,0.0,4870.0
2015-04-30,39.25,0.0,4870.0
2015-05-05,40.5,0.0,4870.0
2015-05-06,43.5,66.66666666666666,4870.0
2015-05-07,41.0,5.5555555555555545,4870.0
2015-05-08,43.8,9.166666666666668,4870.0
2015-05-12,42.0,0.0,4870.0
2015-05-13,42.9,20.0,4870.0
2015-05-14,41.1,0.0,4870.0
2015-05-15,41.0,0.0,4870.0
2015-05-18,41.5,0.0,4870.0
2015-05-19,40.8,0.0,4870.0
2015-05-21,40.0,0.0,4870.0
2015-05-22,40.0,0.0,4870.0
2015-05-25,39.9,0.0,4870.0
2015-05-26,42.8,0.0,4870.0
2015-05-27,40.7,0.0,4870.0
2015-05-28,40.0,0.0,4870.0
2015-05-29,38.1,0.0,4870.0
2015-06-01,40.7,0.0,4870.0
2015-06-02,36.0,0.0,4870.0
2015-06-03,36.9,0.0,4870.0
2015-06-04,37.2,0.0,4870.0
2015-06-05,38.6,0.0,4870.0
2015-06-08,38.5,0.0,4870.0
2015-06-09,40.2,10.0,4870.0
2015-06-11,37.4,0.0,4870.0
2015-06-15,40.7,100.0,4870.0
2015-06-16,40.9,0.0,4870.0
2015-06-18,40.0,0.0,4870.0
2015-06-22,44.9,0.0,4870.0
2015-06-23,43.6,0.0,4870.0
2015-06-24,38.8,0.0,4870.0
